日期,质量等级,AQI,PM2.5,PM10,SO2,NO2,CO,O3,城市
2025-01-01,中度污染,157,317,120,161,66,4,1.39,乌鲁木齐
2025-01-02,重度污染,211,326,161,208,76,4,1.99,乌鲁木齐
2025-01-03,轻度污染,128,264,97,124,73,4,1.48,乌鲁木齐
2025-01-04,轻度污染,125,237,95,115,47,3,1.23,乌鲁木齐
2025-01-05,轻度污染,130,277,99,123,55,4,1.60,乌鲁木齐
2025-01-06,良,94,270,70,87,54,3,1.34,乌鲁木齐
2025-01-07,轻度污染,118,321,89,112,55,3,1.48,乌鲁木齐
2025-01-08,轻度污染,139,327,106,132,54,3,1.61,乌鲁木齐
2025-01-09,优,44,108,31,39,33,3,0.65,乌鲁木齐
2025-01-10,良,56,207,27,34,45,3,0.71,乌鲁木齐
2025-01-11,良,86,285,64,79,48,3,1.08,乌鲁木齐
2025-01-12,轻度污染,104,296,78,97,62,3,1.34,乌鲁木齐
2025-01-13,中度污染,190,324,143,176,68,4,1.63,乌鲁木齐
2025-01-14,中度污染,191,325,144,182,57,3,1.46,乌鲁木齐
2025-01-15,良,81,297,60,79,47,4,0.93,乌鲁木齐
2025-01-16,良,89,317,66,82,64,3,1.10,乌鲁木齐
2025-01-17,中度污染,156,327,119,144,75,3,1.33,乌鲁木齐
2025-01-18,中度污染,173,327,131,161,79,4,1.53,乌鲁木齐
2025-01-19,轻度污染,141,312,108,133,84,4,1.43,乌鲁木齐
2025-01-20,轻度污染,126,271,96,118,81,4,1.39,乌鲁木齐
2025-01-21,重度污染,205,319,155,183,77,3,1.67,乌鲁木齐
2025-01-22,重度污染,231,323,181,215,65,4,1.67,乌鲁木齐
2025-01-23,良,82,175,61,81,31,4,0.73,乌鲁木齐
2025-01-24,优,34,5,17,30,24,2,0.37,乌鲁木齐
2025-01-25,良,51,149,22,35,41,3,0.51,乌鲁木齐
2025-01-26,良,70,221,51,73,42,4,0.95,乌鲁木齐
2025-01-27,轻度污染,102,312,77,105,61,4,0.95,乌鲁木齐
2025-01-28,中度污染,167,325,127,175,63,5,1.03,乌鲁木齐
2025-01-29,重度污染,274,302,224,287,63,11,1.13,乌鲁木齐
2025-01-30,良,80,198,59,72,53,5,0.83,乌鲁木齐
2025-01-31,中度污染,189,319,142,162,49,4,1.21,乌鲁木齐
2025-02-01,良,70,223,51,57,36,3,0.75,乌鲁木齐
2025-02-02,轻度污染,102,264,77,86,35,3,0.79,乌鲁木齐
2025-02-03,良,81,271,60,69,37,3,0.87,乌鲁木齐
2025-02-04,良,79,309,58,65,45,3,0.94,乌鲁木齐
2025-02-05,良,79,311,58,68,47,3,0.93,乌鲁木齐
2025-02-06,良,90,304,67,79,55,3,1.14,乌鲁木齐
2025-02-07,轻度污染,120,322,91,107,66,3,1.22,乌鲁木齐
2025-02-08,轻度污染,149,326,114,143,63,3,1.40,乌鲁木齐
2025-02-09,重度污染,216,327,166,204,77,3,1.61,乌鲁木齐
2025-02-10,中度污染,153,325,117,154,56,3,1.30,乌鲁木齐
2025-02-11,良,84,221,62,75,48,3,0.87,乌鲁木齐
2025-02-12,重度污染,216,324,166,207,55,3,1.39,乌鲁木齐
2025-02-13,轻度污染,124,318,94,122,48,4,1.00,乌鲁木齐
2025-02-14,良,76,232,56,70,55,4,0.87,乌鲁木齐
2025-02-15,轻度污染,142,324,109,135,54,3,1.19,乌鲁木齐
2025-02-16,良,96,304,72,99,37,3,1.03,乌鲁木齐
2025-02-17,良,61,207,44,62,49,3,0.84,乌鲁木齐
2025-02-18,轻度污染,138,323,105,122,59,3,1.15,乌鲁木齐
2025-02-19,重度污染,223,328,173,207,64,3,1.64,乌鲁木齐
2025-02-20,轻度污染,130,323,99,123,66,4,1.33,乌鲁木齐
2025-02-21,良,98,286,73,93,52,4,0.98,乌鲁木齐
