日期,质量等级,AQI,PM2.5,PM10,SO2,NO2,CO,O3,城市
2025-01-01,良,82,160,57,92,66,27,1.33,兰州
2025-01-02,良,86,202,49,84,69,27,1.37,兰州
2025-01-03,良,92,226,60,100,74,32,1.67,兰州
2025-01-04,良,81,154,59,85,65,28,1.52,兰州
2025-01-05,轻度污染,119,259,90,114,70,15,1.74,兰州
2025-01-06,轻度污染,122,314,93,125,75,20,1.90,兰州
2025-01-07,良,66,196,40,70,53,23,0.91,兰州
2025-01-08,良,75,267,45,74,60,19,1.22,兰州
2025-01-09,良,68,277,49,79,52,23,1.12,兰州
2025-01-10,良,68,276,32,85,31,12,0.57,兰州
2025-01-11,良,63,177,42,76,41,12,0.75,兰州
2025-01-12,良,80,242,58,96,64,27,1.38,兰州
2025-01-13,良,85,196,62,101,68,30,1.58,兰州
2025-01-14,良,67,163,31,84,29,12,0.63,兰州
2025-01-15,良,66,235,43,81,52,17,0.98,兰州
2025-01-16,良,90,318,67,104,71,22,1.56,兰州
2025-01-17,良,85,261,63,102,59,25,1.51,兰州
2025-01-18,良,74,156,42,77,59,20,1.19,兰州
2025-01-19,良,92,212,65,103,74,25,1.68,兰州
2025-01-20,良,98,194,67,101,78,24,1.85,兰州
2025-01-21,良,90,158,64,98,72,26,1.63,兰州
2025-01-22,良,85,171,63,97,66,25,1.54,兰州
2025-01-23,轻度污染,115,227,87,123,79,24,1.94,兰州
2025-01-24,良,90,202,67,114,49,18,1.32,兰州
2025-01-25,良,75,227,34,100,16,11,0.58,兰州
2025-01-26,良,89,274,37,128,30,12,0.84,兰州
2025-01-27,良,82,302,55,114,44,15,1.30,兰州
2025-01-28,轻度污染,121,320,92,135,53,17,1.57,兰州
2025-01-29,重度污染,213,265,163,204,57,21,1.70,兰州
2025-01-30,轻度污染,128,272,97,121,50,23,1.62,兰州
2025-01-31,良,82,213,61,78,42,15,1.19,兰州
2025-02-01,良,61,196,44,64,38,20,0.90,兰州
2025-02-02,良,63,201,30,76,11,12,0.38,兰州
2025-02-03,优,50,192,29,50,28,13,0.71,兰州
2025-02-04,良,52,221,32,53,29,17,0.77,兰州
2025-02-05,优,43,124,22,43,19,13,0.47,兰州
2025-02-06,优,50,157,27,51,20,19,0.49,兰州
2025-02-07,良,60,231,26,69,22,11,0.53,兰州
2025-02-08,良,62,297,36,75,38,18,0.78,兰州
2025-02-09,良,66,298,47,83,48,23,1.06,兰州
2025-02-10,良,63,214,44,76,45,20,1.03,兰州
2025-02-11,良,91,253,39,132,20,16,0.55,兰州
