日期,质量等级,AQI,PM2.5,PM10,SO2,NO2,CO,O3,城市
2025-01-01,优,48,51,22,48,38,3,0.54,北京
2025-01-02,优,29,6,9,21,16,2,0.30,北京
2025-01-03,优,38,27,14,35,30,2,0.37,北京
2025-01-04,良,61,78,28,57,49,3,0.56,北京
2025-01-05,优,49,49,21,49,28,2,0.41,北京
2025-01-06,优,30,6,6,15,10,2,0.24,北京
2025-01-07,优,27,5,4,13,8,2,0.23,北京
2025-01-08,优,31,8,4,14,4,2,0.20,北京
2025-01-09,优,30,12,6,15,10,2,0.24,北京
2025-01-10,优,30,7,10,21,24,2,0.36,北京
2025-01-11,优,39,31,18,34,31,3,0.45,北京
2025-01-12,优,31,4,15,31,18,2,0.35,北京
2025-01-13,优,48,44,24,48,35,2,0.50,北京
2025-01-14,优,26,1,7,22,8,2,0.31,北京
2025-01-15,优,28,5,11,28,18,2,0.37,北京
2025-01-16,优,49,54,17,49,25,3,0.43,北京
2025-01-17,良,62,125,34,75,48,4,0.69,北京
2025-01-18,良,71,138,51,91,57,6,0.90,北京
2025-01-19,优,36,7,18,36,27,3,0.43,北京
2025-01-20,良,60,80,33,62,48,4,0.63,北京
2025-01-21,优,45,31,25,45,33,3,0.55,北京
2025-01-22,良,53,50,34,56,34,5,0.72,北京
2025-01-23,良,78,157,57,82,41,3,0.83,北京
2025-01-24,轻度污染,110,240,83,110,39,4,1.02,北京
2025-01-25,轻度污染,138,311,105,135,37,4,1.32,北京
2025-01-26,良,89,273,40,128,12,3,0.48,北京
2025-01-27,优,32,9,3,19,4,2,0.29,北京
2025-01-28,优,32,3,11,20,7,3,0.33,北京
2025-01-29,良,90,106,67,83,15,6,0.49,北京
2025-01-30,良,56,109,40,50,11,4,0.64,北京
2025-01-31,良,71,190,52,66,14,3,0.71,北京
2025-02-01,良,86,254,64,81,17,4,1.01,北京
2025-02-02,良,55,166,39,50,12,3,0.63,北京
2025-02-03,优,38,103,4,9,3,3,0.29,北京
2025-02-04,优,35,40,6,15,6,3,0.33,北京
2025-02-05,优,36,26,8,22,6,3,0.31,北京
2025-02-06,良,56,203,11,61,7,3,0.32,北京
2025-02-07,优,34,62,5,22,2,3,0.30,北京
2025-02-08,优,36,84,6,13,5,3,0.28,北京
2025-02-09,优,31,8,10,18,16,3,0.36,北京
2025-02-10,良,57,165,40,64,43,5,0.65,北京
2025-02-11,轻度污染,118,297,89,127,58,8,1.04,北京
2025-02-12,优,35,11,8,23,11,3,0.25,北京
2025-02-13,良,59,154,35,68,29,4,0.45,北京
2025-02-14,良,56,118,33,63,38,5,0.57,北京
2025-02-15,良,78,218,44,105,32,4,0.52,北京
2025-02-16,优,38,34,8,27,5,3,0.21,北京
2025-02-17,优,36,44,7,19,10,3,0.29,北京
2025-02-18,优,30,15,14,30,23,3,0.37,北京
2025-02-19,优,34,31,9,19,18,3,0.33,北京
2025-02-20,优,33,38,8,17,14,3,0.36,北京
2025-02-21,优,34,35,8,17,13,3,0.32,北京
2025-02-22,优,35,59,7,16,9,3,0.32,北京
2025-02-23,优,38,97,7,18,8,2,0.32,北京
2025-02-24,优,44,94,19,44,35,4,0.52,北京
2025-02-25,优,48,72,20,48,25,4,0.47,北京
2025-02-26,良,53,110,25,56,40,5,0.58,北京
