日期,质量等级,AQI,PM2.5,PM10,SO2,NO2,CO,O3,城市
2025-01-01,良,89,182,66,101,37,10,0.73,呼和浩特
2025-01-02,优,36,31,16,36,25,9,0.47,呼和浩特
2025-01-03,良,59,102,23,52,47,12,0.74,呼和浩特
2025-01-04,良,71,120,45,92,56,15,1.05,呼和浩特
2025-01-05,良,71,111,28,92,29,8,0.66,呼和浩特
2025-01-06,优,31,11,10,26,20,7,0.49,呼和浩特
2025-01-07,优,35,29,11,35,18,8,0.48,呼和浩特
2025-01-08,优,34,32,3,9,7,6,0.35,呼和浩特
2025-01-09,优,41,92,14,29,33,8,0.59,呼和浩特
2025-01-10,良,55,184,25,48,44,9,0.77,呼和浩特
2025-01-11,良,56,132,31,61,32,7,0.65,呼和浩特
2025-01-12,优,43,39,21,43,31,10,0.58,呼和浩特
2025-01-13,良,76,149,41,103,38,11,0.78,呼和浩特
2025-01-14,优,32,7,4,14,10,6,0.32,呼和浩特
2025-01-15,优,47,98,26,47,36,11,0.67,呼和浩特
2025-01-16,良,64,205,35,79,48,11,0.81,呼和浩特
2025-01-17,良,74,206,38,75,59,16,1.00,呼和浩特
2025-01-18,良,86,206,64,108,64,17,1.16,呼和浩特
2025-01-19,良,74,151,49,99,55,14,0.99,呼和浩特
2025-01-20,良,76,138,48,96,61,15,1.05,呼和浩特
2025-01-21,良,69,89,27,51,55,9,0.93,呼和浩特
2025-01-22,良,61,79,38,69,49,12,0.84,呼和浩特
2025-01-23,良,76,153,56,79,56,11,1.03,呼和浩特
2025-01-24,良,55,107,28,48,44,8,0.82,呼和浩特
2025-01-25,良,84,245,61,118,33,8,0.78,呼和浩特
2025-01-26,良,100,293,24,151,5,4,0.31,呼和浩特
2025-01-27,优,34,30,12,23,12,5,0.47,呼和浩特
2025-01-28,良,70,233,51,76,21,15,0.67,呼和浩特
2025-01-29,重度污染,300,311,313,331,37,44,1.28,呼和浩特
2025-01-30,重度污染,286,328,236,265,39,22,1.40,呼和浩特
2025-01-31,轻度污染,118,279,89,130,30,10,1.03,呼和浩特
2025-02-01,良,94,266,70,105,30,11,0.95,呼和浩特
2025-02-02,优,39,88,8,23,8,6,0.33,呼和浩特
2025-02-03,优,40,135,9,17,10,6,0.38,呼和浩特
2025-02-04,优,38,76,8,27,10,5,0.41,呼和浩特
2025-02-05,优,50,198,9,50,7,5,0.40,呼和浩特
2025-02-06,良,79,289,12,108,6,5,0.34,呼和浩特
2025-02-07,优,36,80,7,17,9,7,0.40,呼和浩特
2025-02-08,优,30,18,15,26,22,8,0.64,呼和浩特
2025-02-09,优,48,158,22,44,38,10,0.80,呼和浩特
2025-02-10,良,64,217,36,79,45,11,0.92,呼和浩特
2025-02-11,良,62,131,26,73,34,7,0.75,呼和浩特
2025-02-12,良,58,121,26,67,16,9,0.48,呼和浩特
2025-02-13,良,85,266,63,104,34,14,0.77,呼和浩特
2025-02-14,良,70,200,51,89,49,13,0.96,呼和浩特
2025-02-15,良,86,248,43,121,30,8,0.63,呼和浩特
2025-02-16,优,40,45,11,23,13,5,0.40,呼和浩特
2025-02-17,优,39,78,19,37,28,7,0.59,呼和浩特
2025-02-18,优,39,85,6,15,9,5,0.35,呼和浩特
2025-02-19,优,38,56,5,11,11,4,0.34,呼和浩特
2025-02-20,优,40,77,12,24,15,6,0.34,呼和浩特
2025-02-21,优,37,72,13,21,18,6,0.36,呼和浩特
2025-02-22,优,39,102,6,15,10,5,0.31,呼和浩特
2025-02-23,优,37,78,15,29,19,7,0.39,呼和浩特
2025-02-24,良,58,195,33,65,42,11,0.70,呼和浩特
2025-02-25,良,61,145,35,72,37,9,0.65,呼和浩特
2025-02-26,良,72,193,40,93,47,10,0.78,呼和浩特
2025-02-27,良,88,235,57,125,55,13,0.96,呼和浩特
2025-02-28,良,71,177,47,90,57,11,0.90,呼和浩特
2025-03-01,良,66,183,42,82,47,10,0.83,呼和浩特
2025-03-02,优,47,156,12,27,11,5,0.41,呼和浩特
2025-03-03,优,42,161,20,34,17,7,0.51,呼和浩特
2025-03-04,良,68,305,49,55,22,6,0.65,呼和浩特
2025-03-05,优,42,118,20,28,19,5,0.50,呼和浩特
2025-03-06,优,40,97,11,24,24,6,0.51,呼和浩特
2025-03-07,优,50,131,28,46,40,8,0.72,呼和浩特
2025-03-08,良,65,181,41,80,40,7,0.73,呼和浩特
2025-03-09,良,80,208,48,109,43,9,0.83,呼和浩特
2025-03-10,轻度污染,144,319,71,237,44,11,0.93,呼和浩特
2025-03-11,中度污染,194,309,71,338,34,6,0.70,呼和浩特
2025-03-12,轻度污染,106,253,50,163,29,8,0.63,呼和浩特
2025-03-13,良,64,198,30,78,39,8,0.68,呼和浩特
2025-03-14,良,51,191,15,52,17,7,0.50,呼和浩特
2025-03-15,优,44,171,7,25,5,4,0.40,呼和浩特
2025-03-16,优,42,106,12,29,13,6,0.47,呼和浩特
2025-03-17,优,46,119,8,25,7,6,0.42,呼和浩特
2025-03-18,优,46,101,13,25,17,6,0.45,呼和浩特
2025-03-19,优,42,32,16,32,23,6,0.50,呼和浩特
2025-03-20,优,44,30,13,36,16,6,0.47,呼和浩特
2025-03-21,良,60,156,29,69,29,8,0.59,呼和浩特
2025-03-22,良,78,243,42,106,34,10,0.60,呼和浩特
2025-03-23,中度污染,166,311,78,282,28,9,0.58,呼和浩特
2025-03-24,中度污染,157,289,60,264,13,6,0.46,呼和浩特
2025-03-25,良,84,203,28,118,13,6,0.40,呼和浩特
2025-03-26,轻度污染,150,286,54,250,14,6,0.40,呼和浩特
2025-03-27,良,72,126,22,95,5,4,0.37,呼和浩特
2025-03-28,优,43,66,8,31,6,5,0.41,呼和浩特
2025-03-29,优,44,145,5,13,9,6,0.44,呼和浩特
2025-03-30,优,45,153,12,29,18,7,0.55,呼和浩特
2025-03-31,优,45,111,21,45,27,7,0.63,呼和浩特
2025-04-01,优,42,70,10,32,15,6,0.46,呼和浩特
2025-04-02,优,46,47,11,27,23,7,0.46,呼和浩特
2025-04-03,良,85,269,38,120,34,8,0.58,呼和浩特
2025-04-04,良,60,56,14,69,6,5,0.39,呼和浩特
2025-04-05,优,46,33,17,42,20,9,0.52,呼和浩特
2025-04-06,良,78,238,44,107,43,11,0.72,呼和浩特
2025-04-07,良,54,52,20,59,17,6,0.50,呼和浩特
2025-04-08,优,44,8,21,44,27,6,0.58,呼和浩特
2025-04-09,良,52,39,34,53,29,7,0.60,呼和浩特
2025-04-10,良,54,78,20,59,31,8,0.53,呼和浩特
2025-04-11,轻度污染,128,289,30,206,17,9,0.47,呼和浩特
2025-04-12,优,43,20,5,24,3,6,0.40,呼和浩特
2025-04-13,优,44,41,6,18,4,5,0.40,呼和浩特
2025-04-14,优,46,41,8,14,8,5,0.41,呼和浩特
2025-04-15,良,69,179,30,88,30,10,0.53,呼和浩特
2025-04-16,轻度污染,140,313,68,231,18,10,0.46,呼和浩特
2025-04-17,良,52,23,19,51,8,5,0.38,呼和浩特
2025-04-18,优,40,9,15,22,18,6,0.53,呼和浩特
2025-04-19,优,49,176,29,49,29,7,0.60,呼和浩特
2025-04-20,良,62,147,31,74,35,7,0.68,呼和浩特
2025-04-21,良,54,131,19,37,11,6,0.54,呼和浩特
2025-04-22,良,62,234,21,73,23,8,0.46,呼和浩特
2025-04-23,良,51,99,13,49,15,6,0.36,呼和浩特
2025-04-24,优,48,106,11,30,16,6,0.37,呼和浩特
2025-04-25,优,49,108,18,49,28,7,0.50,呼和浩特
2025-04-26,优,50,108,14,51,26,5,0.40,呼和浩特
2025-04-27,优,46,101,5,12,8,5,0.31,呼和浩特
2025-04-28,优,46,84,16,46,27,7,0.42,呼和浩特
2025-04-29,良,54,70,19,57,23,8,0.40,呼和浩特
2025-04-30,良,54,92,10,31,8,5,0.33,呼和浩特
2025-05-01,优,46,70,16,42,18,6,0.39,呼和浩特
2025-05-02,优,48,71,7,15,6,5,0.38,呼和浩特
2025-05-03,优,44,58,9,23,12,6,0.41,呼和浩特
2025-05-04,优,44,80,16,41,23,6,0.51,呼和浩特
2025-05-05,良,68,210,33,86,20,6,0.56,呼和浩特
2025-05-06,优,44,65,19,40,20,6,0.50,呼和浩特
2025-05-07,良,64,164,29,79,27,8,0.53,呼和浩特
2025-05-08,良,60,161,31,69,22,6,0.48,呼和浩特
2025-05-09,优,48,109,22,28,10,5,0.45,呼和浩特
2025-05-10,优,46,60,29,43,25,6,0.52,呼和浩特
2025-05-11,优,48,45,20,48,32,8,0.53,呼和浩特
2025-05-12,良,58,52,25,66,34,9,0.52,呼和浩特
2025-05-13,良,52,27,18,54,24,6,0.45,呼和浩特
2025-05-14,良,60,86,13,22,12,6,0.43,呼和浩特
2025-05-15,良,63,174,18,56,28,8,0.48,呼和浩特
2025-05-16,轻度污染,128,318,44,207,14,9,0.47,呼和浩特
2025-05-17,良,52,149,19,25,6,5,0.40,呼和浩特
2025-05-18,优,50,131,19,50,16,6,0.43,呼和浩特
2025-05-19,良,56,139,23,47,22,7,0.50,呼和浩特
