日期,质量等级,AQI,PM2.5,PM10,SO2,NO2,CO,O3,城市
2025-01-01,良,88,177,65,123,57,10,0.90,天津
2025-01-02,优,50,78,19,38,40,5,0.50,天津
2025-01-03,良,62,126,28,55,50,5,0.56,天津
2025-01-04,轻度污染,112,217,85,132,73,10,1.07,天津
2025-01-05,良,99,217,74,116,56,8,0.98,天津
2025-01-06,优,31,9,10,27,24,3,0.37,天津
2025-01-07,优,38,45,13,30,30,4,0.43,天津
2025-01-08,优,32,23,5,17,10,2,0.33,天津
2025-01-09,优,34,42,8,22,19,3,0.38,天津
2025-01-10,优,50,119,19,37,40,4,0.52,天津
2025-01-11,良,64,181,27,49,51,5,0.63,天津
2025-01-12,优,50,79,25,50,36,4,0.53,天津
2025-01-13,良,75,142,50,87,60,7,0.80,天津
2025-01-14,优,50,72,22,51,28,4,0.47,天津
2025-01-15,优,38,45,15,38,27,4,0.46,天津
2025-01-16,良,56,112,25,63,38,5,0.54,天津
2025-01-17,良,71,183,42,82,57,10,0.82,天津
2025-01-18,轻度污染,124,309,94,142,77,13,1.15,天津
2025-01-19,良,69,129,50,82,55,8,0.83,天津
2025-01-20,良,82,162,55,93,66,11,1.04,天津
2025-01-21,良,85,141,63,100,61,10,1.16,天津
2025-01-22,良,55,56,33,56,44,9,0.85,天津
2025-01-23,良,65,108,43,64,52,7,0.86,天津
2025-01-24,良,89,198,66,92,51,10,1.22,天津
2025-01-25,轻度污染,124,298,94,127,44,13,1.39,天津
2025-01-26,良,83,266,52,116,17,5,0.71,天津
2025-01-27,优,32,11,4,24,4,3,0.40,天津
2025-01-28,良,56,157,40,57,8,10,0.45,天津
2025-01-29,重度污染,275,303,225,267,23,32,0.89,天津
2025-01-30,良,61,135,44,58,10,8,0.79,天津
2025-01-31,良,52,126,37,53,12,9,0.99,天津
2025-02-01,良,64,203,46,61,16,10,0.86,天津
2025-02-02,良,60,194,43,57,14,5,0.60,天津
2025-02-03,优,40,133,6,15,5,3,0.30,天津
2025-02-04,优,38,72,9,19,8,4,0.37,天津
2025-02-05,优,38,49,11,28,9,4,0.41,天津
2025-02-06,良,60,228,18,71,16,4,0.50,天津
2025-02-07,优,36,81,5,35,4,3,0.40,天津
2025-02-08,优,37,92,9,20,13,3,0.44,天津
2025-02-09,优,42,96,24,39,34,5,0.59,天津
2025-02-10,良,91,306,68,101,60,11,0.95,天津
2025-02-11,轻度污染,129,310,98,141,75,13,1.24,天津
2025-02-12,良,65,147,47,74,24,12,0.45,天津
2025-02-13,轻度污染,111,309,84,127,36,11,0.67,天津
2025-02-14,轻度污染,105,316,79,127,59,11,0.85,天津
2025-02-15,轻度污染,111,312,84,159,61,11,0.93,天津
2025-02-16,优,49,99,17,49,21,4,0.45,天津
2025-02-17,优,36,46,10,23,18,5,0.48,天津
2025-02-18,良,55,200,31,55,44,9,0.76,天津
2025-02-19,良,54,182,25,45,43,5,0.70,天津
2025-02-20,良,51,161,30,52,39,8,0.90,天津
2025-02-21,优,50,178,23,41,40,7,0.68,天津
2025-02-22,优,50,183,27,51,39,8,0.78,天津
2025-02-23,优,37,86,10,28,15,3,0.40,天津
2025-02-24,良,60,210,35,70,35,7,0.64,天津
2025-02-25,良,63,155,41,76,32,6,0.60,天津
2025-02-26,良,84,236,45,91,67,11,0.94,天津
2025-02-27,轻度污染,142,320,109,164,76,11,1.13,天津
2025-02-28,重度污染,204,325,154,216,80,10,1.24,天津
2025-03-01,中度污染,200,322,150,191,56,9,1.42,天津
2025-03-02,良,64,265,28,77,22,8,0.68,天津
2025-03-03,优,40,125,12,38,21,6,0.54,天津
2025-03-04,良,56,267,32,63,31,10,0.73,天津
2025-03-05,良,85,304,63,94,48,8,0.82,天津
2025-03-06,优,48,159,28,45,38,6,0.60,天津
2025-03-07,良,54,146,33,58,37,9,0.69,天津
2025-03-08,轻度污染,125,326,95,119,46,6,0.92,天津
2025-03-09,轻度污染,142,314,109,138,48,8,0.93,天津
2025-03-10,轻度污染,121,306,92,124,38,8,0.92,天津
2025-03-11,轻度污染,136,290,104,146,39,8,0.90,天津
2025-03-12,良,74,185,51,99,36,5,0.55,天津
2025-03-13,良,92,265,45,135,50,11,0.73,天津
2025-03-14,良,64,266,24,78,26,10,0.61,天津
2025-03-15,良,52,231,27,53,25,8,0.51,天津
2025-03-16,优,40,83,15,26,23,5,0.39,天津
2025-03-17,优,42,56,15,36,22,5,0.39,天津
2025-03-18,优,45,78,15,32,20,5,0.40,天津
2025-03-19,良,55,174,31,60,33,6,0.48,天津
2025-03-20,良,53,104,25,56,36,6,0.42,天津
2025-03-21,优,47,33,17,47,32,5,0.37,天津
2025-03-22,良,63,109,28,76,32,6,0.41,天津
2025-03-23,轻度污染,114,277,54,177,35,7,0.46,天津
2025-03-24,良,100,237,34,150,22,7,0.44,天津
2025-03-25,良,64,94,15,77,22,6,0.40,天津
2025-03-26,良,92,188,51,134,29,8,0.73,天津
2025-03-27,良,68,115,17,87,12,4,0.31,天津
2025-03-28,优,46,83,21,46,20,6,0.52,天津
2025-03-29,优,41,95,10,26,19,4,0.35,天津
2025-03-30,良,54,187,27,57,42,8,0.61,天津
2025-03-31,良,69,245,44,88,32,9,0.62,天津
2025-04-01,良,61,180,33,72,19,7,0.48,天津
2025-04-02,优,47,63,9,23,19,6,0.40,天津
2025-04-03,良,56,65,34,61,34,9,0.61,天津
2025-04-04,良,72,182,50,94,33,9,0.64,天津
2025-04-05,优,48,52,7,26,14,5,0.36,天津
2025-04-06,良,72,200,42,93,38,12,0.73,天津
2025-04-07,良,66,129,44,82,38,11,0.85,天津
2025-04-08,良,56,57,24,63,35,9,0.60,天津
2025-04-09,良,57,60,31,64,38,7,0.60,天津
2025-04-10,良,72,181,52,93,35,8,0.63,天津
2025-04-11,良,91,250,67,132,33,11,0.75,天津
2025-04-12,轻度污染,122,178,30,195,7,4,0.32,天津
2025-04-13,良,74,129,20,99,7,4,0.33,天津
2025-04-14,良,58,111,20,59,16,5,0.40,天津
2025-04-15,良,58,90,27,66,38,7,0.63,天津
2025-04-16,良,86,201,64,121,46,13,1.15,天津
2025-04-17,良,71,134,47,92,28,10,0.93,天津
2025-04-18,良,56,84,30,61,28,10,0.83,天津
2025-04-19,优,49,171,34,47,27,5,0.56,天津
2025-04-20,良,69,183,47,75,45,10,0.71,天津
2025-04-21,良,92,300,69,105,50,9,1.00,天津
2025-04-22,优,50,139,25,50,24,6,0.53,天津
2025-04-23,良,65,197,29,80,24,7,0.45,天津
2025-04-24,优,47,102,10,46,16,5,0.25,天津
2025-04-25,良,58,175,21,67,38,8,0.49,天津
2025-04-26,良,86,276,47,121,34,9,0.67,天津
2025-04-27,良,60,203,25,71,23,7,0.46,天津
2025-04-28,良,56,185,22,62,29,8,0.55,天津
2025-04-29,良,62,116,32,73,38,9,0.67,天津
2025-04-30,良,85,214,38,105,40,11,0.82,天津
2025-05-01,优,47,81,13,45,21,6,0.37,天津
2025-05-02,良,58,120,20,66,24,9,0.63,天津
2025-05-03,优,46,81,12,34,17,5,0.35,天津
2025-05-04,良,65,167,25,65,20,9,0.43,天津
2025-05-05,良,68,209,44,83,22,7,0.69,天津
2025-05-06,良,57,158,25,40,16,6,0.61,天津
2025-05-07,良,69,182,45,68,27,9,0.72,天津
2025-05-08,良,76,269,54,101,33,9,0.83,天津
2025-05-09,优,41,41,18,37,19,6,0.60,天津
2025-05-10,优,46,67,18,30,18,6,0.38,天津
2025-05-11,良,73,288,43,70,29,8,0.62,天津
2025-05-12,良,95,299,38,81,37,11,0.72,天津
2025-05-13,轻度污染,115,315,39,88,27,9,0.69,天津
2025-05-14,良,67,129,25,52,22,7,0.60,天津
2025-05-15,良,59,139,17,34,22,8,0.49,天津
2025-05-16,良,93,276,55,93,28,8,0.75,天津
2025-05-17,良,63,189,17,50,17,5,0.39,天津
2025-05-18,良,62,174,31,70,34,7,0.45,天津
2025-05-19,轻度污染,117,319,49,126,34,9,0.77,天津
2025-05-20,轻度污染,133,322,63,142,29,10,1.01,天津
2025-05-21,良,95,278,35,83,24,11,0.89,天津
2025-05-22,良,72,238,53,92,37,11,0.84,天津
2025-05-23,良,59,209,42,56,22,6,0.50,天津
2025-05-24,优,49,102,29,46,29,6,0.40,天津
2025-05-25,良,78,230,33,66,26,11,0.63,天津
2025-05-26,良,100,285,51,85,36,10,0.74,天津
2025-05-27,轻度污染,107,280,39,71,29,9,0.60,天津
2025-05-28,轻度污染,122,299,43,77,33,9,0.67,天津
2025-05-29,轻度污染,126,297,45,81,32,10,0.74,天津
2025-05-30,轻度污染,126,297,42,80,25,9,0.69,天津
2025-05-31,良,100,289,44,81,28,10,0.90,天津
2025-06-01,良,92,291,52,79,25,12,0.99,天津
2025-06-02,良,88,293,31,52,23,8,0.53,天津
2025-06-03,优,47,135,4,19,25,6,0.31,天津
2025-06-04,良,55,152,9,29,27,7,0.34,天津
2025-06-05,轻度污染,115,301,24,67,32,11,0.57,天津
2025-06-06,轻度污染,125,303,33,86,33,12,0.80,天津
2025-06-07,良,77,257,29,59,23,11,0.80,天津
2025-06-08,良,86,267,25,48,24,9,0.59,天津
2025-06-09,轻度污染,120,303,27,57,25,9,0.69,天津
2025-06-10,良,62,223,21,42,22,8,0.63,天津
2025-06-11,良,97,266,23,56,24,10,0.52,天津
2025-06-12,轻度污染,131,309,29,83,20,11,0.57,天津
2025-06-13,轻度污染,134,320,35,82,25,11,0.69,天津
2025-06-14,良,52,154,35,55,18,6,0.70,天津
2025-06-15,良,64,158,4,9,15,6,0.36,天津
2025-06-16,优,48,108,6,15,18,6,0.40,天津
2025-06-17,良,86,246,25,51,32,9,0.65,天津
