日期,质量等级,AQI,PM2.5,PM10,SO2,NO2,CO,O3,城市
2025-01-01,良,100,214,75,136,61,29,1.39,太原
2025-01-02,良,62,129,38,75,40,15,0.74,太原
2025-01-03,良,59,101,30,64,47,19,0.86,太原
2025-01-04,良,80,150,56,110,56,30,1.03,太原
2025-01-05,良,74,121,38,97,38,22,0.70,太原
2025-01-06,优,49,61,15,49,29,12,0.51,太原
2025-01-07,优,38,38,15,38,27,11,0.48,太原
2025-01-08,优,37,55,13,37,20,9,0.46,太原
2025-01-09,优,37,67,17,37,29,10,0.55,太原
2025-01-10,良,54,165,29,59,40,17,0.70,太原
2025-01-11,良,56,130,30,63,28,11,0.54,太原
2025-01-12,良,52,91,26,55,29,15,0.58,太原
2025-01-13,良,85,195,46,120,48,20,0.88,太原
2025-01-14,良,52,82,15,53,13,6,0.39,太原
2025-01-15,良,52,135,22,54,33,18,0.71,太原
2025-01-16,良,66,230,37,75,53,24,1.07,太原
2025-01-17,良,81,244,54,97,65,27,1.31,太原
2025-01-18,良,75,162,55,96,57,26,1.17,太原
2025-01-19,良,64,113,35,75,51,20,0.89,太原
2025-01-20,良,85,166,54,99,68,25,1.24,太原
2025-01-21,良,78,114,51,92,62,22,1.18,太原
2025-01-22,良,79,153,58,92,46,18,1.09,太原
2025-01-23,轻度污染,119,233,90,127,57,23,1.40,太原
2025-01-24,轻度污染,118,256,89,132,47,21,1.27,太原
2025-01-25,良,92,258,69,89,26,9,0.84,太原
2025-01-26,良,66,198,17,83,8,5,0.35,太原
2025-01-27,优,36,53,7,24,9,6,0.40,太原
2025-01-28,良,55,147,39,53,13,17,0.47,太原
2025-01-29,重度污染,300,314,262,324,36,50,1.10,太原
2025-01-30,中度污染,196,311,147,191,31,21,1.33,太原
2025-01-31,中度污染,200,323,150,190,40,23,1.63,太原
2025-02-01,中度污染,164,320,125,158,39,18,1.60,太原
2025-02-02,良,92,253,69,100,24,10,0.91,太原
2025-02-03,优,36,78,11,26,12,7,0.42,太原
2025-02-04,优,35,37,14,33,14,7,0.44,太原
2025-02-05,优,39,62,9,34,7,6,0.41,太原
2025-02-06,轻度污染,110,320,29,169,14,8,0.49,太原
2025-02-07,优,50,172,11,51,9,9,0.48,太原
2025-02-08,优,37,100,17,37,24,15,0.70,太原
2025-02-09,良,56,239,34,61,41,21,1.05,太原
2025-02-10,良,75,264,55,99,53,22,1.21,太原
2025-02-11,良,79,210,58,104,54,19,1.24,太原
2025-02-12,良,63,142,25,76,11,8,0.44,太原
2025-02-13,良,89,278,66,106,39,29,0.93,太原
2025-02-14,良,71,211,52,91,55,29,1.29,太原
2025-02-15,良,79,222,45,108,40,22,1.01,太原
2025-02-16,良,70,224,23,90,19,8,0.50,太原
2025-02-17,良,55,167,25,60,38,13,0.77,太原
2025-02-18,良,66,246,37,81,38,15,0.85,太原
2025-02-19,良,69,274,49,88,34,15,0.94,太原
2025-02-20,良,74,279,54,82,32,12,0.81,太原
2025-02-21,轻度污染,105,296,79,114,44,13,1.05,太原
2025-02-22,良,62,237,45,70,27,10,0.70,太原
2025-02-23,优,36,70,12,33,22,11,0.57,太原
2025-02-24,良,60,213,36,70,46,25,0.95,太原
2025-02-25,良,60,133,33,71,36,15,0.66,太原
2025-02-26,良,70,180,39,90,50,19,0.81,太原
2025-02-27,良,79,205,58,108,48,18,0.95,太原
2025-02-28,良,71,179,43,92,52,16,0.90,太原
2025-03-01,轻度污染,111,283,84,141,47,17,1.16,太原
2025-03-02,良,81,305,60,79,22,7,1.03,太原
2025-03-03,优,40,127,22,36,18,7,0.55,太原
2025-03-04,良,65,302,47,66,29,11,0.73,太原
2025-03-05,轻度污染,101,325,76,102,38,13,1.10,太原
2025-03-06,优,47,150,30,47,28,10,0.62,太原
2025-03-07,良,100,321,75,95,35,11,1.03,太原
2025-03-08,良,78,226,57,82,37,9,0.85,太原
2025-03-09,良,76,200,55,102,38,11,0.79,太原
2025-03-10,良,98,263,73,119,40,11,0.90,太原
2025-03-11,轻度污染,108,255,70,167,41,9,0.82,太原
2025-03-12,中度污染,183,318,77,316,43,18,0.73,太原
2025-03-13,轻度污染,102,285,53,153,44,15,0.75,太原
2025-03-14,轻度污染,105,325,75,160,38,10,0.79,太原
2025-03-15,良,64,292,39,77,23,8,0.70,太原
2025-03-16,优,44,138,11,24,18,6,0.43,太原
2025-03-17,优,40,40,13,34,22,8,0.47,太原
2025-03-18,优,49,160,16,38,23,8,0.46,太原
2025-03-19,良,52,132,22,53,40,11,0.55,太原
2025-03-20,良,54,110,22,59,39,13,0.53,太原
2025-03-21,良,57,123,22,64,36,12,0.52,太原
2025-03-22,良,70,195,33,89,40,14,0.56,太原
2025-03-23,轻度污染,134,296,57,218,35,11,0.47,太原
2025-03-24,重度污染,300,317,139,485,16,8,0.41,太原
2025-03-25,重度污染,300,322,132,587,19,7,0.43,太原
2025-03-26,中度污染,160,288,65,270,24,10,0.62,太原
2025-03-27,中度污染,180,312,62,310,6,5,0.31,太原
2025-03-28,轻度污染,114,279,37,179,7,5,0.30,太原
2025-03-29,优,44,133,12,42,16,6,0.33,太原
2025-03-30,良,52,180,19,55,31,11,0.50,太原
2025-03-31,良,54,168,21,59,38,11,0.51,太原
2025-04-01,良,64,194,21,77,33,11,0.49,太原
2025-04-02,优,49,76,12,45,25,8,0.49,太原
2025-04-03,良,92,291,44,135,36,12,0.63,太原
2025-04-04,轻度污染,112,306,48,175,34,8,0.51,太原
2025-04-05,良,58,121,15,65,22,8,0.44,太原
2025-04-06,良,80,250,35,109,47,14,0.68,太原
2025-04-07,轻度污染,102,308,50,154,46,16,0.75,太原
2025-04-08,良,83,226,53,116,30,10,0.65,太原
2025-04-09,良,66,134,35,82,33,8,0.58,太原
2025-04-10,良,58,92,26,66,36,11,0.60,太原
2025-04-11,中度污染,186,302,71,321,37,11,0.54,太原
2025-04-12,轻度污染,130,188,30,209,5,5,0.37,太原
2025-04-13,良,60,92,15,69,9,6,0.41,太原
2025-04-14,优,46,53,11,32,12,7,0.47,太原
2025-04-15,良,64,140,28,78,44,14,0.67,太原
2025-04-16,轻度污染,121,295,66,192,28,12,0.51,太原
2025-04-17,中度污染,172,318,110,295,28,8,0.41,太原
2025-04-18,良,83,214,52,116,20,7,0.62,太原
2025-04-19,良,81,292,60,89,31,7,0.71,太原
2025-04-20,良,76,218,49,102,34,9,0.72,太原
2025-04-21,良,73,261,48,96,24,7,0.63,太原
2025-04-22,良,64,240,22,79,23,9,0.48,太原
2025-04-23,良,80,266,41,110,35,13,0.60,太原
2025-04-24,优,50,123,13,43,22,7,0.49,太原
2025-04-25,良,60,186,24,71,39,12,0.58,太原
2025-04-26,良,81,251,41,94,26,13,0.70,太原
2025-04-27,良,52,154,16,53,20,8,0.49,太原
2025-04-28,良,52,142,20,54,31,9,0.52,太原
2025-04-29,良,62,118,25,73,31,11,0.51,太原
2025-04-30,轻度污染,108,297,61,166,35,11,0.55,太原
2025-05-01,良,59,203,22,67,23,8,0.46,太原
2025-05-02,良,75,203,33,100,27,10,0.68,太原
2025-05-03,优,48,88,16,35,15,6,0.39,太原
2025-05-04,良,72,204,30,70,29,10,0.67,太原
2025-05-05,轻度污染,111,280,50,172,15,11,0.56,太原
2025-05-06,良,68,202,29,85,20,7,0.45,太原
2025-05-07,良,72,194,40,94,31,11,0.70,太原
2025-05-08,良,77,271,42,104,32,9,0.60,太原
2025-05-09,优,48,108,15,34,11,5,0.43,太原
2025-05-10,良,52,146,24,42,25,8,0.53,太原
2025-05-11,良,52,75,24,55,38,14,0.62,太原
2025-05-12,良,78,180,27,71,38,14,0.71,太原
2025-05-13,良,78,130,42,105,38,15,0.68,太原
2025-05-14,良,62,101,15,45,15,6,0.38,太原
2025-05-15,良,82,275,23,55,26,11,0.63,太原
2025-05-16,轻度污染,103,296,36,132,24,12,0.62,太原
2025-05-17,轻度污染,132,301,53,215,9,5,0.35,太原
2025-05-18,良,60,166,25,69,30,9,0.52,太原
2025-05-19,良,74,202,39,99,43,12,0.65,太原
2025-05-20,良,90,250,40,95,41,13,0.67,太原
2025-05-21,轻度污染,114,306,57,122,39,10,0.80,太原
2025-05-22,良,87,284,52,80,16,5,0.60,太原
2025-05-23,优,44,103,24,30,17,5,0.63,太原
2025-05-24,优,50,111,35,49,26,8,0.59,太原
2025-05-25,良,64,152,35,60,36,10,0.59,太原
2025-05-26,良,82,217,24,43,28,10,0.62,太原
2025-05-27,良,85,208,28,53,32,10,0.61,太原
2025-05-28,轻度污染,121,294,35,63,28,9,0.63,太原
2025-05-29,轻度污染,125,294,32,66,25,7,0.52,太原
2025-05-30,轻度污染,135,318,41,82,20,7,0.63,太原
2025-05-31,良,86,245,35,53,19,6,0.76,太原
2025-06-01,良,98,306,38,62,19,6,0.64,太原
2025-06-02,良,51,172,15,32,21,6,0.48,太原
2025-06-03,良,60,207,7,31,25,7,0.33,太原
2025-06-04,良,72,224,11,35,28,8,0.47,太原
2025-06-05,良,92,241,22,58,42,12,0.72,太原
2025-06-06,良,95,254,21,57,39,9,0.59,太原
2025-06-07,轻度污染,149,323,28,76,26,9,0.67,太原
2025-06-08,轻度污染,114,302,29,60,25,9,0.74,太原
2025-06-09,轻度污染,112,300,28,63,22,8,0.66,太原
2025-06-10,良,80,274,14,39,20,8,0.43,太原
2025-06-11,轻度污染,117,310,26,62,25,10,0.63,太原
2025-06-12,轻度污染,139,320,37,74,17,9,0.64,太原
2025-06-13,轻度污染,142,326,28,63,18,9,0.68,太原
2025-06-14,良,84,285,17,31,14,6,0.59,太原
2025-06-15,良,66,168,6,16,12,5,0.34,太原
2025-06-16,良,53,135,12,25,19,6,0.43,太原
2025-06-17,良,79,215,22,48,41,9,0.60,太原
2025-06-18,轻度污染,111,313,21,56,36,9,0.64,太原
2025-06-19,良,97,324,22,44,22,7,0.63,太原
2025-06-20,良,77,304,19,35,16,7,0.51,太原
2025-06-21,良,79,273,13,31,20,8,0.48,太原
2025-06-22,轻度污染,105,300,17,43,19,9,0.58,太原
2025-06-23,轻度污染,118,314,21,48,23,10,0.62,太原
2025-06-24,轻度污染,102,265,21,44,25,9,0.55,太原
2025-06-25,轻度污染,121,306,31,65,24,11,0.66,太原
2025-06-26,良,87,259,21,47,21,9,0.68,太原
2025-06-27,良,98,315,28,45,18,7,0.77,太原
2025-06-28,良,78,272,19,29,14,6,0.65,太原
2025-06-29,良,88,312,12,22,14,7,0.65,太原
2025-06-30,良,92,328,26,45,18,7,0.74,太原
2025-07-01,良,71,299,20,34,19,7,0.66,太原
2025-07-02,良,68,291,20,34,16,6,0.58,太原
2025-07-03,优,43,147,13,21,15,5,0.58,太原
2025-07-04,良,75,274,18,35,20,8,0.68,太原
2025-07-05,良,53,145,6,14,10,6,0.43,太原
2025-07-06,良,68,207,10,24,15,7,0.43,太原
2025-07-07,良,86,260,18,30,14,6,0.55,太原
2025-07-08,优,50,162,23,34,17,6,0.65,太原
2025-07-09,优,44,147,30,44,19,5,0.62,太原
2025-07-10,优,40,101,26,40,18,6,0.59,太原
2025-07-11,良,58,239,36,54,15,6,0.51,太原
2025-07-12,良,83,309,38,58,16,7,0.55,太原
2025-07-13,良,87,307,28,51,19,8,0.53,太原
2025-07-14,轻度污染,108,328,30,56,19,9,0.63,太原
2025-07-15,轻度污染,115,328,39,74,20,10,0.78,太原
2025-07-16,良,74,254,7,27,13,6,0.34,太原
2025-07-17,良,71,205,10,27,19,7,0.40,太原
2025-07-18,良,90,263,18,44,21,9,0.55,太原
2025-07-19,轻度污染,102,294,27,48,16,9,0.66,太原
2025-07-20,良,70,275,26,38,16,6,0.65,太原
2025-07-21,良,62,268,15,27,17,6,0.55,太原
2025-07-22,良,72,294,15,29,14,7,0.46,太原
2025-07-23,良,70,309,21,35,12,6,0.45,太原
2025-07-24,优,44,222,10,23,14,6,0.41,太原
2025-07-25,优,49,249,15,30,14,6,0.45,太原
2025-07-26,良,57,270,18,32,15,6,0.51,太原
2025-07-27,良,66,290,23,39,17,7,0.73,太原
2025-07-28,良,73,316,28,47,17,8,0.69,太原
2025-07-29,良,74,297,8,18,15,8,0.51,太原
2025-07-30,良,82,301,14,34,16,8,0.51,太原
2025-07-31,良,98,324,29,51,14,7,0.63,太原
2025-08-01,良,98,327,32,53,16,7,0.77,太原
2025-08-02,良,97,319,32,52,16,7,0.82,太原
2025-08-03,轻度污染,112,329,29,49,16,8,0.86,太原
2025-08-04,良,58,204,28,44,17,7,0.92,太原
2025-08-05,优,50,193,22,34,18,6,0.66,太原
2025-08-06,良,63,246,13,34,20,8,0.54,太原
2025-08-07,良,74,296,20,49,22,9,0.63,太原
2025-08-08,良,92,322,32,52,14,7,0.73,太原
2025-08-09,良,58,282,6,13,13,7,0.49,太原
2025-08-10,良,68,301,11,28,19,9,0.53,太原
2025-08-11,良,99,329,27,59,23,17,0.92,太原
2025-08-12,良,82,289,20,56,25,10,0.64,太原
2025-08-13,良,82,301,20,46,22,11,0.63,太原
2025-08-14,良,96,321,32,59,18,8,0.76,太原
2025-08-15,良,52,207,33,53,23,7,0.80,太原
2025-08-16,优,46,197,12,21,18,6,0.54,太原
2025-08-17,优,50,233,14,31,20,8,0.56,太原
2025-08-18,良,61,250,26,42,17,7,0.68,太原
2025-08-19,良,68,266,21,38,17,9,0.67,太原
2025-08-20,良,62,260,15,24,14,6,0.60,太原
2025-08-21,优,35,121,13,22,16,6,0.59,太原
2025-08-22,良,52,228,10,31,16,8,0.52,太原
2025-08-23,优,46,184,6,14,13,6,0.53,太原
2025-08-24,优,48,226,15,25,16,6,0.67,太原
2025-08-25,良,55,264,15,28,22,8,0.66,太原
2025-08-26,优,39,140,13,29,25,8,0.79,太原
2025-08-27,优,39,121,26,39,21,7,0.85,太原
2025-08-28,优,37,104,13,24,19,9,0.73,太原
2025-08-29,优,40,144,14,33,24,9,0.60,太原
2025-08-30,良,52,234,26,53,26,11,0.78,太原
2025-08-31,良,70,313,41,72,25,11,0.98,太原
2025-09-01,良,73,305,26,52,27,11,0.75,太原
2025-09-02,良,67,249,24,46,23,8,0.70,太原
2025-09-03,良,68,276,17,32,17,9,0.54,太原
2025-09-04,优,46,157,18,37,22,9,0.68,太原
2025-09-05,优,39,98,17,28,16,7,0.64,太原
2025-09-06,良,52,237,22,55,20,10,0.61,太原
2025-09-07,良,68,280,30,74,27,15,0.90,太原
2025-09-08,良,71,297,22,61,25,13,0.78,太原
2025-09-09,良,89,322,28,65,27,14,0.79,太原
2025-09-10,良,69,288,26,67,33,12,0.73,太原
2025-09-11,良,52,239,22,49,21,10,0.65,太原
2025-09-12,良,51,222,22,37,21,8,0.64,太原
2025-09-13,良,58,266,40,66,29,13,0.97,太原
2025-09-14,良,58,241,24,59,29,12,0.76,太原
2025-09-15,良,77,311,38,75,21,9,0.82,太原
2025-09-16,优,38,136,13,23,20,8,0.68,太原
2025-09-17,优,26,56,11,18,21,7,0.48,太原
2025-09-18,优,30,108,11,23,24,8,0.50,太原
2025-09-19,优,34,147,14,28,25,11,0.66,太原
2025-09-20,良,54,308,29,57,32,14,0.88,太原
2025-09-21,优,41,193,13,32,33,10,0.63,太原
2025-09-22,优,36,137,15,25,22,7,0.54,太原
2025-09-23,良,54,298,34,58,30,11,0.84,太原
2025-09-24,良,61,323,43,72,34,11,0.97,太原
2025-09-25,良,57,270,25,54,34,11,0.79,太原
2025-09-26,良,61,286,17,43,30,10,0.72,太原
2025-09-27,良,52,262,37,55,25,8,1.01,太原
2025-09-28,良,78,321,57,87,35,12,1.38,太原
2025-09-29,良,86,322,64,107,40,12,1.19,太原
2025-09-30,良,70,291,49,89,38,17,1.08,太原
2025-10-01,良,56,240,24,62,39,12,0.77,太原
