日期,质量等级,AQI,PM2.5,PM10,SO2,NO2,CO,O3,城市
2025-01-01,优,46,45,25,46,31,13,0.68,沈阳
2025-01-02,优,47,70,29,47,36,13,0.73,沈阳
2025-01-03,良,58,92,41,66,43,15,0.88,沈阳
2025-01-04,良,75,134,55,90,50,19,1.48,沈阳
2025-01-05,轻度污染,125,271,95,133,48,15,1.43,沈阳
2025-01-06,轻度污染,121,312,92,117,48,15,1.12,沈阳
2025-01-07,优,42,56,23,39,34,12,0.70,沈阳
2025-01-08,优,38,62,18,38,18,9,0.57,沈阳
2025-01-09,优,45,113,27,45,32,11,0.70,沈阳
2025-01-10,良,79,305,58,85,50,14,1.17,沈阳
2025-01-11,轻度污染,106,318,80,114,55,14,1.48,沈阳
2025-01-12,轻度污染,125,315,95,131,64,18,1.62,沈阳
2025-01-13,良,100,277,75,113,59,20,1.73,沈阳
2025-01-14,良,56,94,24,62,28,12,0.66,沈阳
2025-01-15,优,49,105,19,49,26,13,0.69,沈阳
2025-01-16,良,54,92,31,58,39,15,0.96,沈阳
2025-01-17,良,70,172,43,89,44,18,1.29,沈阳
2025-01-18,良,69,131,49,88,35,14,1.03,沈阳
2025-01-19,良,59,91,42,65,38,13,0.86,沈阳
2025-01-20,良,75,131,55,82,56,15,1.29,沈阳
2025-01-21,良,75,107,55,81,44,13,1.20,沈阳
2025-01-22,良,86,178,64,93,43,13,1.11,沈阳
2025-01-23,轻度污染,122,239,93,125,53,14,1.56,沈阳
2025-01-24,良,99,221,74,99,43,15,1.16,沈阳
2025-01-25,良,96,262,72,94,42,14,1.08,沈阳
2025-01-26,轻度污染,129,313,98,125,58,17,1.83,沈阳
2025-01-27,轻度污染,139,325,106,180,26,11,1.24,沈阳
2025-01-28,良,70,231,21,91,14,9,0.60,沈阳
2025-01-29,良,96,119,72,101,22,18,0.72,沈阳
2025-01-30,良,96,223,72,84,38,15,1.12,沈阳
2025-01-31,轻度污染,101,262,76,89,43,17,1.43,沈阳
2025-02-01,轻度污染,101,277,76,87,49,16,1.33,沈阳
2025-02-02,中度污染,156,314,119,133,49,14,1.43,沈阳
2025-02-03,良,51,200,36,47,25,12,0.68,沈阳
2025-02-04,优,39,94,27,38,31,11,0.75,沈阳
2025-02-05,良,54,235,38,48,37,12,0.90,沈阳
2025-02-06,良,71,273,52,65,40,18,1.30,沈阳
2025-02-07,优,48,155,16,48,21,9,0.51,沈阳
2025-02-08,优,50,220,19,51,31,11,0.63,沈阳
2025-02-09,良,65,292,47,67,51,15,1.05,沈阳
2025-02-10,良,71,253,52,72,50,18,1.42,沈阳
2025-02-11,良,65,148,47,65,28,14,0.98,沈阳
2025-02-12,优,40,30,26,40,21,12,0.54,沈阳
2025-02-13,良,84,262,62,97,46,18,1.23,沈阳
2025-02-14,轻度污染,102,314,77,124,67,27,2.10,沈阳
2025-02-15,轻度污染,104,291,78,110,35,15,1.15,沈阳
2025-02-16,优,49,102,27,49,20,10,0.59,沈阳
2025-02-17,优,35,33,11,31,15,9,0.50,沈阳
2025-02-18,优,34,32,12,27,19,9,0.53,沈阳
2025-02-19,优,42,86,23,40,34,9,0.72,沈阳
2025-02-20,优,42,91,24,40,34,10,0.71,沈阳
2025-02-21,优,45,143,26,41,36,11,0.73,沈阳
2025-02-22,优,44,140,27,44,33,11,0.70,沈阳
2025-02-23,优,41,134,23,38,33,12,0.66,沈阳
2025-02-24,良,58,196,37,65,38,17,1.19,沈阳
2025-02-25,良,81,249,30,112,23,11,0.75,沈阳
2025-02-26,良,74,201,28,97,33,14,0.84,沈阳
2025-02-27,良,91,248,68,120,28,13,1.01,沈阳
2025-02-28,轻度污染,138,295,105,133,29,14,1.20,沈阳
2025-03-01,良,86,241,64,83,30,12,1.05,沈阳
2025-03-02,优,34,19,17,34,20,9,0.55,沈阳
