日期,质量等级,AQI,PM2.5,PM10,SO2,NO2,CO,O3,城市
2025-01-01,良,84,168,52,117,49,9,0.82,石家庄
2025-01-02,良,65,138,40,80,42,6,0.66,石家庄
2025-01-03,良,64,135,39,77,50,11,0.88,石家庄
2025-01-04,良,75,133,52,100,60,13,1.09,石家庄
2025-01-05,良,78,135,29,105,25,6,0.50,石家庄
2025-01-06,优,33,16,13,33,15,3,0.34,石家庄
2025-01-07,优,38,41,14,38,26,4,0.43,石家庄
2025-01-08,良,52,123,14,54,12,2,0.30,石家庄
2025-01-09,优,38,71,17,38,25,4,0.40,石家庄
2025-01-10,优,49,110,22,49,39,9,0.58,石家庄
2025-01-11,良,60,157,35,71,48,8,0.72,石家庄
2025-01-12,良,56,111,32,62,31,5,0.55,石家庄
2025-01-13,良,74,133,44,98,48,8,0.78,石家庄
2025-01-14,良,67,164,31,84,23,4,0.43,石家庄
2025-01-15,优,48,103,18,48,27,6,0.55,石家庄
2025-01-16,良,56,117,23,63,31,9,0.59,石家庄
2025-01-17,良,80,230,55,101,64,18,1.25,石家庄
2025-01-18,轻度污染,109,271,82,137,81,18,1.62,石家庄
2025-01-19,良,66,121,42,82,47,8,0.72,石家庄
2025-01-20,良,86,172,64,115,63,14,1.17,石家庄
2025-01-21,良,94,165,70,118,59,11,1.09,石家庄
2025-01-22,良,75,139,55,87,38,8,0.76,石家庄
2025-01-23,良,80,169,59,88,46,8,0.83,石家庄
2025-01-24,良,89,196,66,96,43,9,0.84,石家庄
2025-01-25,轻度污染,129,304,98,124,38,5,1.00,石家庄
2025-01-26,良,74,243,42,99,10,2,0.45,石家庄
2025-01-27,优,34,28,11,26,5,2,0.27,石家庄
2025-01-28,良,59,171,42,59,11,8,0.40,石家庄
2025-01-29,重度污染,226,279,176,217,22,22,0.85,石家庄
2025-01-30,轻度污染,102,236,77,97,12,7,0.77,石家庄
2025-01-31,良,92,240,69,85,12,3,0.76,石家庄
2025-02-01,轻度污染,104,280,78,95,13,2,0.86,石家庄
2025-02-02,中度污染,164,320,125,152,24,6,1.07,石家庄
2025-02-03,良,54,208,36,57,12,4,0.47,石家庄
2025-02-04,优,39,93,19,39,10,5,0.41,石家庄
2025-02-05,优,37,37,13,33,7,4,0.32,石家庄
2025-02-06,轻度污染,105,314,29,160,13,4,0.43,石家庄
2025-02-07,优,44,134,12,44,4,5,0.31,石家庄
2025-02-08,优,34,46,12,26,13,6,0.37,石家庄
2025-02-09,良,54,222,32,58,36,12,0.72,石家庄
2025-02-10,良,89,300,66,106,56,16,1.20,石家庄
2025-02-11,轻度污染,119,299,90,140,64,16,1.45,石家庄
2025-02-12,良,71,190,52,90,30,8,0.59,石家庄
2025-02-13,良,54,106,26,58,21,9,0.46,石家庄
2025-02-14,良,71,207,52,90,46,17,0.83,石家庄
2025-02-15,良,64,167,33,78,34,13,0.63,石家庄
2025-02-16,良,52,118,18,55,17,5,0.33,石家庄
2025-02-17,良,54,165,25,57,28,5,0.41,石家庄
2025-02-18,良,58,215,33,67,36,7,0.54,石家庄
2025-02-19,良,62,234,44,74,38,7,0.53,石家庄
2025-02-20,良,72,269,53,88,41,7,0.63,石家庄
2025-02-21,良,80,266,59,92,39,6,0.64,石家庄
2025-02-22,良,68,260,49,76,31,5,0.55,石家庄
2025-02-23,优,42,138,17,42,16,4,0.33,石家庄
2025-02-24,良,58,198,29,67,35,9,0.65,石家庄
2025-02-25,良,68,183,43,87,41,9,0.69,石家庄
2025-02-26,良,76,208,46,103,42,9,0.67,石家庄
2025-02-27,良,95,253,71,138,53,11,0.94,石家庄
2025-02-28,轻度污染,139,297,106,180,68,13,1.18,石家庄
2025-03-01,重度污染,203,324,153,226,59,11,1.22,石家庄
2025-03-02,良,95,322,71,106,22,3,0.70,石家庄
2025-03-03,良,54,288,35,57,23,3,0.55,石家庄
2025-03-04,优,46,183,24,46,16,4,0.38,石家庄
2025-03-05,良,66,257,45,83,38,8,0.69,石家庄
2025-03-06,良,54,194,33,57,26,4,0.45,石家庄
2025-03-07,良,75,257,55,80,33,5,0.57,石家庄
2025-03-08,轻度污染,111,320,84,113,27,5,0.69,石家庄
2025-03-09,良,99,261,74,111,28,6,0.68,石家庄
2025-03-10,轻度污染,118,303,89,126,24,5,0.73,石家庄
2025-03-11,轻度污染,140,292,107,162,36,5,0.86,石家庄
2025-03-12,中度污染,153,307,54,256,17,5,0.36,石家庄
2025-03-13,轻度污染,129,318,60,208,30,6,0.60,石家庄
2025-03-14,良,86,319,50,122,26,6,0.66,石家庄
2025-03-15,良,54,250,25,58,10,5,0.40,石家庄
2025-03-16,优,44,147,13,30,9,3,0.31,石家庄
2025-03-17,良,52,225,17,53,14,4,0.33,石家庄
2025-03-18,良,54,234,22,57,20,6,0.34,石家庄
2025-03-19,良,52,144,24,55,29,6,0.46,石家庄
2025-03-20,优,46,40,13,44,22,4,0.33,石家庄
2025-03-21,优,47,30,14,46,20,4,0.33,石家庄
2025-03-22,良,58,69,19,67,20,5,0.32,石家庄
2025-03-23,轻度污染,120,285,46,190,23,6,0.40,石家庄
2025-03-24,轻度污染,119,268,41,188,18,4,0.28,石家庄
2025-03-25,轻度污染,120,275,35,191,20,4,0.30,石家庄
2025-03-26,良,84,139,37,119,24,4,0.43,石家庄
2025-03-27,轻度污染,126,279,40,203,10,3,0.28,石家庄
2025-03-28,轻度污染,130,298,43,211,5,2,0.28,石家庄
2025-03-29,优,48,164,16,48,11,3,0.29,石家庄
2025-03-30,良,60,229,27,70,24,6,0.43,石家庄
2025-03-31,良,66,222,36,81,29,7,0.53,石家庄
2025-04-01,良,69,236,29,88,21,4,0.39,石家庄
2025-04-02,优,48,66,15,33,8,2,0.23,石家庄
2025-04-03,良,66,163,33,83,30,6,0.41,石家庄
2025-04-04,良,98,287,49,147,33,6,0.50,石家庄
2025-04-05,良,52,79,14,55,10,3,0.27,石家庄
2025-04-06,良,78,236,40,107,34,8,0.66,石家庄
2025-04-07,良,98,300,71,146,34,7,0.65,石家庄
2025-04-08,良,74,164,42,97,38,4,0.45,石家庄
2025-04-09,良,76,199,48,101,37,4,0.53,石家庄
2025-04-10,良,70,155,40,91,31,5,0.45,石家庄
2025-04-11,中度污染,157,299,60,264,23,5,0.56,石家庄
2025-04-12,轻度污染,145,204,40,240,3,2,0.24,石家庄
2025-04-13,良,54,65,17,59,9,3,0.30,石家庄
2025-04-14,良,57,104,15,40,8,2,0.28,石家庄
2025-04-15,良,57,81,20,64,29,5,0.41,石家庄
2025-04-16,轻度污染,114,283,52,177,24,5,0.40,石家庄
2025-04-17,轻度污染,139,303,77,228,27,5,0.68,石家庄
2025-04-18,良,70,164,39,90,14,3,0.39,石家庄
2025-04-19,良,52,173,33,54,15,3,0.36,石家庄
2025-04-20,良,85,274,63,97,23,3,0.46,石家庄
2025-04-21,良,70,247,51,87,25,2,0.49,石家庄
2025-04-22,良,56,188,28,62,17,2,0.32,石家庄
2025-04-23,良,74,240,31,99,24,4,0.39,石家庄
2025-04-24,良,54,164,16,57,12,3,0.31,石家庄
2025-04-25,良,72,284,39,93,27,6,0.50,石家庄
2025-04-26,良,87,280,58,120,31,6,0.65,石家庄
2025-04-27,良,85,295,41,120,16,3,0.35,石家庄
2025-04-28,良,56,189,18,63,23,5,0.35,石家庄
2025-04-29,良,63,123,19,70,24,6,0.47,石家庄
2025-04-30,良,79,197,33,108,28,4,0.42,石家庄
2025-05-01,良,54,155,19,57,16,3,0.31,石家庄
2025-05-02,良,75,207,34,91,17,5,0.45,石家庄
2025-05-03,良,55,119,13,44,8,2,0.25,石家庄
2025-05-04,良,62,150,25,66,18,5,0.43,石家庄
