日期,质量等级,AQI,PM2.5,PM10,SO2,NO2,CO,O3,城市
2025-01-01,轻度污染,140,297,107,158,57,39,1.53,银川
2025-01-02,良,76,173,37,103,35,14,0.81,银川
2025-01-03,良,75,182,51,100,56,32,1.20,银川
2025-01-04,良,90,176,48,129,45,12,0.85,银川
2025-01-05,良,66,98,29,81,28,11,0.54,银川
2025-01-06,优,50,66,28,50,40,11,0.75,银川
2025-01-07,良,70,216,39,68,56,19,1.04,银川
2025-01-08,良,52,121,33,54,42,12,0.74,银川
2025-01-09,良,52,159,34,55,39,17,0.85,银川
2025-01-10,良,56,193,30,62,32,11,0.63,银川
2025-01-11,良,72,237,23,94,17,3,0.40,银川
2025-01-12,良,96,285,36,143,31,8,0.56,银川
2025-01-13,轻度污染,136,312,50,221,17,4,0.43,银川
2025-01-14,优,39,34,22,39,19,11,0.55,银川
2025-01-15,良,52,132,33,55,38,16,0.98,银川
2025-01-16,良,64,212,40,65,51,12,0.95,银川
2025-01-17,良,80,235,59,95,59,37,1.45,银川
2025-01-18,良,72,145,52,95,51,25,1.16,银川
2025-01-19,良,84,192,60,96,67,23,1.30,银川
2025-01-20,轻度污染,121,262,92,134,71,38,1.90,银川
2025-01-21,良,99,179,74,114,69,45,1.89,银川
2025-01-22,良,91,192,68,105,64,41,1.77,银川
2025-01-23,良,91,192,68,109,60,36,1.70,银川
2025-01-24,轻度污染,126,266,96,130,39,13,1.40,银川
2025-01-25,良,61,197,33,72,12,6,0.55,银川
2025-01-26,良,52,144,18,54,13,7,0.47,银川
2025-01-27,良,57,241,37,64,32,14,0.75,银川
2025-01-28,良,92,298,69,101,49,13,0.93,银川
2025-01-29,重度污染,300,320,281,354,49,23,1.09,银川
2025-01-30,重度污染,219,320,169,219,53,22,1.43,银川
2025-01-31,中度污染,173,314,131,167,47,16,1.41,银川
2025-02-01,良,92,261,69,83,39,18,1.18,银川
2025-02-02,优,38,82,21,31,17,6,0.46,银川
2025-02-03,优,40,116,19,28,20,5,0.46,银川
2025-02-04,优,40,110,19,35,20,5,0.43,银川
2025-02-05,优,38,41,18,36,18,6,0.49,银川
2025-02-06,良,91,306,30,132,13,8,0.43,银川
2025-02-07,优,50,167,20,50,19,9,0.59,银川
2025-02-08,优,43,161,26,43,30,9,0.68,银川
2025-02-09,良,69,306,49,86,55,13,1.03,银川
2025-02-10,良,86,296,64,114,49,20,1.20,银川
2025-02-11,良,84,224,40,119,25,12,0.73,银川
2025-02-12,良,57,115,33,64,21,12,0.49,银川
2025-02-13,良,76,241,56,89,43,20,0.88,银川
2025-02-14,良,64,166,39,77,44,12,0.75,银川
2025-02-15,良,61,147,26,72,19,7,0.44,银川
2025-02-16,良,72,238,37,94,33,24,0.64,银川
2025-02-17,良,71,262,41,92,41,16,0.98,银川
2025-02-18,良,66,251,39,83,33,14,0.77,银川
2025-02-19,优,42,85,25,42,21,12,0.56,银川
2025-02-20,良,56,199,40,61,27,15,0.71,银川
2025-02-21,良,69,242,50,81,37,9,0.71,银川
2025-02-22,优,38,84,21,35,17,9,0.50,银川
2025-02-23,优,40,118,23,40,24,9,0.58,银川
2025-02-24,良,62,225,43,74,44,20,0.80,银川
2025-02-25,良,74,215,49,97,50,17,0.82,银川
2025-02-26,良,83,231,52,116,53,23,1.03,银川
2025-02-27,良,76,193,47,103,50,27,1.03,银川
2025-02-28,良,78,204,50,106,54,29,1.01,银川
2025-03-01,良,90,246,57,131,49,30,1.17,银川
2025-03-02,良,58,239,28,65,21,14,0.60,银川
2025-03-03,良,54,286,32,58,16,6,0.46,银川
2025-03-04,良,78,319,57,93,31,9,0.83,银川
2025-03-05,良,65,254,47,72,30,8,0.66,银川
2025-03-06,良,52,185,34,53,31,8,0.48,银川
2025-03-07,良,87,306,46,124,33,5,0.40,银川
2025-03-08,轻度污染,102,311,49,154,49,10,0.56,银川
2025-03-09,重度污染,300,327,110,511,34,10,0.49,银川
2025-03-10,中度污染,152,322,63,253,48,12,0.65,银川
2025-03-11,中度污染,186,304,60,322,29,8,0.45,银川
2025-03-12,良,80,198,34,110,41,16,0.55,银川
2025-03-13,良,96,270,42,142,30,12,0.58,银川
2025-03-14,良,70,287,28,91,14,11,0.48,银川
2025-03-15,优,46,198,18,44,9,5,0.40,银川
2025-03-16,优,44,167,20,39,25,11,0.57,银川
2025-03-17,良,52,223,28,54,40,10,0.64,银川
2025-03-18,优,46,93,21,45,27,9,0.56,银川
2025-03-19,良,54,156,26,52,43,12,0.60,银川
2025-03-20,良,61,180,31,72,45,12,0.61,银川
2025-03-21,良,64,196,35,79,43,16,0.65,银川
2025-03-22,良,87,281,40,124,35,13,0.58,银川
2025-03-23,重度污染,300,322,108,457,12,4,0.42,银川
2025-03-24,重度污染,300,323,124,504,13,5,0.47,银川
2025-03-25,重度污染,300,325,127,574,15,8,0.61,银川
2025-03-26,重度污染,300,306,112,491,7,6,0.46,银川
2025-03-27,轻度污染,117,257,46,184,5,4,0.40,银川
2025-03-28,良,88,242,37,125,9,6,0.43,银川
2025-03-29,良,52,179,25,54,29,18,0.60,银川
2025-03-30,良,54,189,29,59,33,14,0.68,银川
2025-03-31,优,49,139,22,49,31,10,0.59,银川
2025-04-01,优,46,97,16,40,16,7,0.41,银川
2025-04-02,良,60,173,23,69,26,8,0.50,银川
2025-04-03,轻度污染,138,315,65,227,28,8,0.45,银川
2025-04-04,良,68,140,28,85,12,6,0.34,银川
2025-04-05,良,54,92,20,58,34,13,0.49,银川
2025-04-06,轻度污染,119,321,49,188,27,5,0.42,银川
2025-04-07,良,90,273,44,129,40,20,0.60,银川
2025-04-08,轻度污染,114,315,46,177,8,5,0.35,银川
2025-04-09,良,60,92,25,69,13,6,0.33,银川
2025-04-10,良,78,221,30,106,24,11,0.43,银川
2025-04-11,重度污染,300,318,183,1049,9,4,0.34,银川
